title, author, image, rating
To Kill a Mockingbird,Harper Lee,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1553383690i/2657._SY75_.jpg,4.28
Harry Potter and the Sorcerer's Stone (Harry Potter #1),J.K. Rowling,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1474154022i/3._SY75_.jpg,4.47
Pride and Prejudice,Jane Austen,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320399351i/1885._SY75_.jpg,4.27
The Diary of a Young Girl,Anne Frank,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1560816565i/48855._SY75_.jpg,4.16
1984,George Orwell,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1532714506i/40961427._SX50_.jpg,4.19
Animal Farm,George Orwell,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1325861570i/170448._SY75_.jpg,3.96
The Little Prince,Antoine de Saint-Exupéry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1367545443i/157993._SY75_.jpg,4.31
The Great Gatsby,F. Scott Fitzgerald,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1490528560i/4671._SY75_.jpg,3.93
The Catcher in the Rye,J.D. Salinger,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1398034300i/5107._SY75_.jpg,3.81
The Lord of the Rings,J.R.R. Tolkien,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1566425108i/33._SX50_.jpg,4.50
The Book Thief,Markus Zusak,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1522157426i/19063._SY75_.jpg,4.38
Jane Eyre,Charlotte Brontë,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1557343311i/10210._SY75_.jpg,4.13
The Chronicles of Narnia (Chronicles of Narnia #1-7),C.S. Lewis,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1449868701i/11127._SY75_.jpg,4.25
Lord of the Flies,William Golding,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327869409i/7624._SY75_.jpg,3.69
Romeo and Juliet,William Shakespeare,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1572098085i/18135._SY75_.jpg,3.75
Harry Potter and the Deathly Hallows (Harry Potter #7),J.K. Rowling,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1474171184i/136251._SY75_.jpg,4.62
The Kite Runner,Khaled Hosseini,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1579036753i/77203._SY75_.jpg,4.31
The Giver (The Giver #1),Lois Lowry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1342493368i/3636._SY75_.jpg,4.13
The Giving Tree,Shel Silverstein,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1174210942i/370493._SX50_.jpg,4.37
Charlotte's Web,E.B. White,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1439632243i/24178._SY75_.jpg,4.18
The Hunger Games (The Hunger Games #1),Suzanne Collins,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586722975i/2767052._SY75_.jpg,4.32
Little Women,Louisa May Alcott,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1562690475i/1934._SY75_.jpg,4.10
The Hobbit or There and Back Again,J.R.R. Tolkien,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546071216i/5907._SY75_.jpg,4.28
Of Mice and Men,John Steinbeck,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1511302904i/890._SX50_.jpg,3.88
Green Eggs and Ham,Dr. Seuss,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1468680100i/23772._SX50_.jpg,4.29
Fahrenheit 451,Ray Bradbury,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1383718290i/13079982._SY75_.jpg,3.99
Harry Potter and the Prisoner of Azkaban (Harry Potter #3),J.K. Rowling,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1499277281i/5._SY75_.jpg,4.57
Alice's Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327872220i/24213._SY75_.jpg,4.06
Wuthering Heights,Emily Brontë,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388212715i/6185._SY75_.jpg,3.87
Gone with the Wind,Margaret Mitchell,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1551144577i/18405._SY75_.jpg,4.30
Night  (The Night Trilogy #1),Elie Wiesel,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1575073611i/1617._SY75_.jpg,4.34
The Picture of Dorian Gray,Oscar Wilde,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546103428i/5297._SY75_.jpg,4.09
The Holy Bible: King James Version,Anonymous,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1313518530i/1923820._SX50_.jpg,4.41
Harry Potter and the Goblet of Fire (Harry Potter #4),J.K. Rowling,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1554006152i/6._SX50_.jpg,4.56
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy #1),Douglas Adams,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1559986152i/386162._SX50_.jpg,4.22
Hamlet,William Shakespeare,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1351051208i/1420._SY75_.jpg,4.03
Tolkien On Fairy-stories,J.R.R. Tolkien,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1326706200i/1362112._SY75_.jpg,4.30
The Adventures of Huckleberry Finn,Mark Twain,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546096879i/2956._SX50_.jpg,3.82
Harry Potter and the Half-Blood Prince (Harry Potter #6),J.K. Rowling,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1587697303i/1._SX50_.jpg,4.57
Les Misérables,Victor Hugo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1411852091i/24280._SY75_.jpg,4.18
Brave New World / Brave New World Revisited,Aldous Huxley,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1331315450i/5479._SY75_.jpg,4.17
The Alchemist,Paulo Coelho,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1466865542i/18144590._SY75_.jpg,3.89
Crime and Punishment,Fyodor Dostoyevsky,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1382846449i/7144._SY75_.jpg,4.23
The Help,Kathryn Stockett,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1622355533i/4667024._SY75_.jpg,4.46
The Secret Garden,Frances Hodgson Burnett,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327873635i/2998._SY75_.jpg,4.13
Memoirs of a Geisha,Arthur Golden,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1409595968i/929._SY75_.jpg,4.13
The Lion the Witch and the Wardrobe (Chronicles of Narnia #1),C.S. Lewis,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1353029077i/100915._SY75_.jpg,4.22
The Odyssey,Homer,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1390173285i/1381._SY75_.jpg,3.78
A Christmas Carol,Charles Dickens,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1406512317i/5326._SY75_.jpg,4.07
The Cat in the Hat (The Cat in the Hat #1),Dr. Seuss,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1468890477i/233093._SX50_.jpg,4.16
The Outsiders,S.E. Hinton,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442129426i/231804._SY75_.jpg,4.10
The Color Purple,Alice Walker,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1572261616l/52892857._SX50_SY75_.jpg,4.23
One Hundred Years of Solitude,Gabriel García Márquez,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327881361i/320._SX50_.jpg,4.09
The Grapes of Wrath,John Steinbeck,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1375670575i/18114322._SY75_.jpg,3.98
A Thousand Splendid Suns,Khaled Hosseini,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1345958969i/128029._SY75_.jpg,4.38
Where the Sidewalk Ends,Shel Silverstein,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1168052448i/30119._SX50_.jpg,4.30
Anne of Green Gables (Anne of Green Gables #1),L.M. Montgomery,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1615094578i/8127._SY75_.jpg,4.26
Ender's Game (Ender's Saga #1),Orson Scott Card,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1408303130i/375802._SY75_.jpg,4.30
Where the Wild Things Are,Maurice Sendak,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1384434560i/19543._SX50_.jpg,4.21
The Adventures of Tom Sawyer,Mark Twain,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1404811979i/24583._SY75_.jpg,3.92
The Count of Monte Cristo,Alexandre Dumas,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1611834134i/7126._SY75_.jpg,4.26
A Tale of Two Cities,Charles Dickens,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344922523i/1953._SY75_.jpg,3.85
Life of Pi,Yann Martel,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320562005i/4214._SY75_.jpg,3.92
One Flew Over the Cuckoo's Nest,Ken Kesey,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1516211014i/332613._SX50_.jpg,4.19
Oh the Places You'll Go!,Dr. Seuss,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1421708635i/191139._SX50_.jpg,4.33
Anna Karenina,Leo Tolstoy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1601352433i/15823480._SX50_.jpg,4.06
Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1498841231i/35031085._SY75_.jpg,3.82
The Handmaid's Tale (The Handmaid's Tale #1),Margaret Atwood,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1578028274i/38447._SY75_.jpg,4.12
Tuesdays with Morrie,Mitch Albom,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1423763749i/6900._SY75_.jpg,4.12
Winnie-the-Pooh (Winnie-the-Pooh #1),A.A. Milne,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1298440130i/99107._SY75_.jpg,4.31
The Fellowship of the Ring (The Lord of the Rings #1),J.R.R. Tolkien,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1486871542i/3263607._SY75_.jpg,4.37
Slaughterhouse-Five,Kurt Vonnegut Jr.,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1606208827i/4981._SY75_.jpg,4.08
Catch-22,Joseph Heller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1463157317i/168668._SY75_.jpg,3.98
The Old Man and the Sea,Ernest Hemingway,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1329189714i/2165._SY75_.jpg,3.79
The Scarlet Letter,Nathaniel Hawthorne,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1404810944i/12296._SY75_.jpg,3.42
Flowers for Algernon,Daniel Keyes,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1510416245i/36576608._SY75_.jpg,4.16
Macbeth,William Shakespeare,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1459795224i/8852._SY75_.jpg,3.91
Twilight (Twilight #1),Stephenie Meyer,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1361039443i/41865._SY75_.jpg,3.61
Lolita,Vladimir Nabokov,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1377756377i/7604._SY75_.jpg,3.88
The Time Traveler's Wife,Audrey Niffenegger,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1380660571i/18619684._SX50_.jpg,3.98
Siddhartha,Hermann Hesse,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1428715580i/52036._SY75_.jpg,4.04
The Metamorphosis,Franz Kafka,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1359061917i/485894._SY75_.jpg,3.83
The Stranger,Albert Camus,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1590930002i/49552._SY75_.jpg,3.99
Goodnight Moon,Margaret Wise Brown,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1439223893i/32929._SX50_.jpg,4.28
A Tree Grows in Brooklyn,Betty  Smith,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327883484i/14891._SY75_.jpg,4.27
Harry Potter and the Chamber of Secrets (Harry Potter #2),J.K. Rowling,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1474169725i/15881._SY75_.jpg,4.43
War and Peace,Leo Tolstoy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1413215930i/656._SY75_.jpg,4.13
The Little House Collection (Little House #1-9),Laura Ingalls Wilder,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1577932823i/114345._SX50_.jpg,4.34
A Clockwork Orange,Anthony Burgess,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1549260060i/41817486._SX50_.jpg,3.99
All Quiet on the Western Front,Erich Maria Remarque,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1441227765i/355697._SY75_.jpg,really
The Stand,Stephen King,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1213131305i/149267._SX50_.jpg,4.34
Uncle Tom's Cabin,Harriet Beecher Stowe,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1414349231i/46787._SY75_.jpg,3.88
Don Quixote,Miguel de Cervantes Saavedra,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546112331i/3836._SX50_.jpg,3.88
القرآن الكريم,Anonymous,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1275263838i/646462._SY75_.jpg,4.36
Atlas Shrugged,Ayn Rand,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1405868167i/662._SY75_.jpg,3.69
The Brothers Karamazov,Fyodor Dostoyevsky,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1427728126i/4934._SX50_.jpg,4.33
The Book of Mormon: Another Testament of Jesus Christ,Anonymous,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327389004i/323355._SX50_.jpg,4.31
The Poisonwood Bible,Barbara Kingsolver,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1412242487i/7244._SY75_.jpg,4.07
Moby-Dick or the Whale,Herman Melville,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327940656i/153747._SY75_.jpg,3.52
I Know Why the Caged Bird Sings (Maya Angelou's Autobiography #1),Maya Angelou,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327957927i/13214._SY75_.jpg,4.25
